Anon Period;TGL Biz Desc;TGL Business Unit;TGL Business Segment;TGL Business Subsegment;Orders cons. (anon);Revenue cons. (anon)
1;SSI;SSI027;SSI02710;SSI02710;0;-390277
2;SSI;SSI027;SSI02710;SSI02710;0;334
3;SSI;SSI027;SSI02710;SSI02710;0;334
4;SSI;SSI027;SSI02710;SSI02710;0;1811758
5;SSI;SSI027;SSI02710;SSI02710;0;80112
6;SSI;SSI027;SSI02710;SSI02710;0;38468
7;SSI;SSI027;SSI02710;SSI02710;0;334
8;SSI;SSI027;SSI02710;SSI02710;0;334
9;SSI;SSI027;SSI02710;SSI02710;0;-37173
10;SSI;SSI027;SSI02710;SSI02710;0;38094
11;SSI;SSI027;SSI02710;SSI02710;0;334
12;SSI;SSI027;SSI02710;SSI02710;0;334
13;SSI;SSI027;SSI02710;SSI02710;0;334
14;SSI;SSI027;SSI02710;SSI02710;0;334
15;SSI;SSI027;SSI02710;SSI02710;0;334
16;SSI;SSI027;SSI02710;SSI02710;0;334
17;SSI;SSI027;SSI02710;SSI02710;0;334
18;SSI;SSI027;SSI02710;SSI02710;0;334
19;SSI;SSI027;SSI02710;SSI02710;0;334
20;SSI;SSI027;SSI02710;SSI02710;0;334
21;SSI;SSI027;SSI02710;SSI02710;0;334
22;SSI;SSI027;SSI02710;SSI02710;0;334
23;SSI;SSI027;SSI02710;SSI02710;0;334
24;SSI;SSI027;SSI02710;SSI02710;0;334
25;SSI;SSI027;SSI02710;SSI02710;0;334
26;SSI;SSI027;SSI02710;SSI02710;0;334
27;SSI;SSI027;SSI02710;SSI02710;0;334
28;SSI;SSI027;SSI02710;SSI02710;0;334
29;SSI;SSI027;SSI02710;SSI02710;0;334
30;SSI;SSI027;SSI02710;SSI02710;0;334
31;SSI;SSI027;SSI02710;SSI02710;0;334
32;SSI;SSI027;SSI02710;SSI02710;0;334
33;SSI;SSI027;SSI02710;SSI02710;0;334
34;SSI;SSI027;SSI02710;SSI02710;0;334
35;SSI;SSI027;SSI02710;SSI02710;0;334
36;SSI;SSI027;SSI02710;SSI02710;-4008;0
30;SSI;SSI027;SSI02710;SSI0271002;1408682;1385872
31;SSI;SSI027;SSI02710;SSI0271002;398269;572429
32;SSI;SSI027;SSI02710;SSI0271002;483628;620954
33;SSI;SSI027;SSI02710;SSI0271002;1973518;2209071
34;SSI;SSI027;SSI02710;SSI0271002;465203;602052
35;SSI;SSI027;SSI02710;SSI0271002;316484;358252
36;SSI;SSI027;SSI02710;SSI0271002;1305472;901661
37;SSI;SSI027;SSI02710;SSI0271002;204641;210678
38;SSI;SSI027;SSI02710;SSI0271002;2499324;303353
39;SSI;SSI027;SSI02710;SSI0271002;2447226;1097714
40;SSI;SSI027;SSI02710;SSI0271002;88373;618252
41;SSI;SSI027;SSI02710;SSI0271002;348757;818938
42;SSI;SSI027;SSI02710;SSI0271002;5638641;2716017
25;SSI;SSI027;SSI02710;SSI0271004;0;0
27;SSI;SSI027;SSI02710;SSI0271004;0;0
28;SSI;SSI027;SSI02710;SSI0271004;0;0
29;SSI;SSI027;SSI02710;SSI0271004;0;0
30;SSI;SSI027;SSI02710;SSI0271004;0;0
31;SSI;SSI027;SSI02710;SSI0271004;0;0
34;SSI;SSI027;SSI02710;SSI0271004;0;0
35;SSI;SSI027;SSI02710;SSI0271004;0;0
37;SSI;SSI027;SSI02710;SSI0271004;0;0
39;SSI;SSI027;SSI02710;SSI0271004;0;0
40;SSI;SSI027;SSI02710;SSI0271004;0;0
1;SSI;SSI027;SSI02710;SSI0271006;0;0
2;SSI;SSI027;SSI02710;SSI0271006;0;0
3;SSI;SSI027;SSI02710;SSI0271006;0;0
4;SSI;SSI027;SSI02710;SSI0271006;0;0
5;SSI;SSI027;SSI02710;SSI0271006;0;0
6;SSI;SSI027;SSI02710;SSI0271006;0;0
7;SSI;SSI027;SSI02710;SSI0271006;0;0
9;SSI;SSI027;SSI02710;SSI0271006;0;0
10;SSI;SSI027;SSI02710;SSI0271006;0;0
11;SSI;SSI027;SSI02710;SSI0271006;0;0
12;SSI;SSI027;SSI02710;SSI0271006;0;0
13;SSI;SSI027;SSI02710;SSI0271006;0;0
14;SSI;SSI027;SSI02710;SSI0271006;0;0
16;SSI;SSI027;SSI02710;SSI0271006;0;0
17;SSI;SSI027;SSI02710;SSI0271006;0;0
18;SSI;SSI027;SSI02710;SSI0271006;0;0
19;SSI;SSI027;SSI02710;SSI0271006;0;0
20;SSI;SSI027;SSI02710;SSI0271006;0;0
21;SSI;SSI027;SSI02710;SSI0271006;0;0
22;SSI;SSI027;SSI02710;SSI0271006;0;0
24;SSI;SSI027;SSI02710;SSI0271006;0;0
39;SSI;SSI027;SSI02710;SSI0271006;6009;6109
37;SSI;SSI027;SSI02710;SSI0271099;140140;186923
38;SSI;SSI027;SSI02710;SSI0271099;108397;84936
39;SSI;SSI027;SSI02710;SSI0271099;169977;172677
40;SSI;SSI027;SSI02710;SSI0271099;56892;35769
1;SSI;SSI027;SSI02780;SSI02780;0;0
2;SSI;SSI027;SSI02780;SSI02780;0;0
3;SSI;SSI027;SSI02780;SSI02780;0;0
4;SSI;SSI027;SSI02780;SSI02780;0;0
5;SSI;SSI027;SSI02780;SSI02780;0;0
6;SSI;SSI027;SSI02780;SSI02780;0;0
7;SSI;SSI027;SSI02780;SSI02780;0;0
8;SSI;SSI027;SSI02780;SSI02780;0;0
9;SSI;SSI027;SSI02780;SSI02780;0;0
10;SSI;SSI027;SSI02780;SSI02780;-208;-208
11;SSI;SSI027;SSI02780;SSI02780;0;0
12;SSI;SSI027;SSI02780;SSI02780;0;0
13;SSI;SSI027;SSI02780;SSI02780;0;0
14;SSI;SSI027;SSI02780;SSI02780;0;0
15;SSI;SSI027;SSI02780;SSI02780;0;0
16;SSI;SSI027;SSI02780;SSI02780;0;0
17;SSI;SSI027;SSI02780;SSI02780;0;0
18;SSI;SSI027;SSI02780;SSI02780;0;0
19;SSI;SSI027;SSI02780;SSI02780;0;0
20;SSI;SSI027;SSI02780;SSI02780;0;0
21;SSI;SSI027;SSI02780;SSI02780;0;0
22;SSI;SSI027;SSI02780;SSI02780;0;0
23;SSI;SSI027;SSI02780;SSI02780;0;0
24;SSI;SSI027;SSI02780;SSI02780;0;0
25;SSI;SSI027;SSI02780;SSI02780;0;0
26;SSI;SSI027;SSI02780;SSI02780;0;0
27;SSI;SSI027;SSI02780;SSI02780;0;0
28;SSI;SSI027;SSI02780;SSI02780;0;0
29;SSI;SSI027;SSI02780;SSI02780;0;0
30;SSI;SSI027;SSI02780;SSI02780;0;0
31;SSI;SSI027;SSI02780;SSI02780;0;0
32;SSI;SSI027;SSI02780;SSI02780;0;0
33;SSI;SSI027;SSI02780;SSI02780;0;0
34;SSI;SSI027;SSI02780;SSI02780;0;0
35;SSI;SSI027;SSI02780;SSI02780;0;0
